日期,证券代码,证券名称,买卖方向,成交价格,成交数量,成交金额
20240523,000697,炼石航空,卖出,8.99,-121800,-1094982.00
20240524,688695,中创股份,买入,39.96,13409,535843.75
20240524,870299,灿能电力,买入,7.57,69916,529278.10
20240524,430556,雅达股份,买入,4.73,106932,505799.05
20240524,603967,中创物流,卖出,9.78,-189300,-1851815.91
20240524,601008,连云港,卖出,3.87,-491900,-1905703.00
20240527,603018,华设集团,买入,9.46,110000,1040567.00
20240527,430556,雅达股份,卖出,4.57,-106932,-488747.49
20240527,870299,灿能电力,卖出,7.51,-69916,-525348.57
20240527,688695,中创股份,卖出,38.64,-13409,-518162.40
20240528,600843,上工申贝,买入,8.03,140700,1129792.86
20240528,002655,共达电声,买入,10.60,53600,568267.20
20240528,002655,共达电声,卖出,0.00,0,0.00
20240528,603018,华设集团,卖出,9.70,-110000,-1067000.00
20240529,127071,天箭转债,买入,120.00,9000,1080000.00
20240529,300680,隆盛科技,买入,22.45,38500,864475.15
20240529,301117,佳缘科技,买入,29.32,28100,823922.01
20240529,688102,斯瑞新材,买入,13.03,32233,420079.80
20240529,002655,共达电声,卖出,10.63,-53600,-569995.80
20240529,127071,天箭转债,卖出,120.13,-9000,-1081206.90
20240529,600843,上工申贝,卖出,8.76,-140700,-1232560.14
20240530,300682,朗新集团,买入,10.92,156100,1704083.00
20240530,301179,泽宇智能,买入,19.10,31700,605470.00
20240530,002655,共达电声,买入,0.00,0,0.00
20240530,688102,斯瑞新材,卖出,12.31,-32233,-396788.23
20240530,300680,隆盛科技,卖出,20.55,-38500,-791178.85
20240530,301117,佳缘科技,卖出,30.04,-28100,-844050.94
20240531,002869,金溢科技,买入,18.90,53950,1019696.86
20240531,301106,骏成科技,买入,35.89,54240,1946777.16
20240531,688722,同益中,买入,11.51,2579,29684.29
20240531,301179,泽宇智能,卖出,18.40,-31700,-583219.77
20240531,300682,朗新集团,卖出,10.69,-156100,-1668780.00
20240603,123209,聚隆转债,买入,141.99,8490,1205461.99
20240603,128082,华锋转债,买入,130.90,9200,1204260.68
20240603,688609,九联科技,买入,10.87,87173,947866.90
20240603,301329,信音电子,买入,24.18,40200,972170.67
20240603,688722,同益中,卖出,12.03,-2579,-31025.37
20240603,128082,华锋转债,卖出,127.99,-9200,-1177552.19
20240603,002869,金溢科技,卖出,19.71,-53950,-1063461.00
20240603,301106,骏成科技,卖出,24.32,-54240,-1319119.00
20240603,123209,聚隆转债,卖出,142.49,-8490,-1209777.46
20240604,688609,九联科技,买入,10.95,132064,1446587.31
20240604,300552,万集科技,买入,39.30,23100,907724.75
20240604,301329,信音电子,卖出,21.10,-40200,-848412.00
20240605,300462,华铭智能,买入,9.68,142700,1381336.00
20240605,688609,九联科技,卖出,10.78,-55338,-596789.73
20240605,300552,万集科技,卖出,42.39,-23100,-979207.98
20240606,300462,华铭智能,买入,8.14,77000,626787.70
20240606,688609,九联科技,卖出,10.19,-163899,-1669469.90
20240606,300462,华铭智能,卖出,7.23,-142700,-1032431.70
20240607,601028,玉龙股份,买入,14.38,76700,1102946.00
20240607,688609,九联科技,买入,9.82,63248,620958.66
20240607,300462,华铭智能,卖出,7.40,-77000,-569800.00
20240611,688609,九联科技,买入,9.85,119657,1178796.91
20240611,601028,玉龙股份,卖出,13.09,-76700,-1004056.69
20240612,600692,亚通股份,买入,5.03,518500,2610531.71
20240612,688609,九联科技,买入,10.31,42483,437999.73
20240612,688609,九联科技,卖出,10.49,-182905,-1918647.75
20240613,688609,九联科技,买入,10.94,32710,357847.40
20240613,688609,九联科技,卖出,11.06,-42483,-469861.98
20240614,301578,辰奕智能,买入,43.31,20820,901792.65
20240614,600692,亚通股份,卖出,5.13,-288300,-1479458.00
20240614,688609,九联科技,卖出,10.84,-32710,-354576.40
20240617,600692,亚通股份,买入,5.00,325300,1626500.00
20240617,300457,赢合科技,买入,20.01,50800,1016266.00
20240617,605058,澳弘电子,买入,20.99,10200,214065.36
20240617,301578,辰奕智能,卖出,41.88,-20820,-871941.60
20240618,301517,陕西华达,买入,61.16,18100,1107035.75
20240618,301117,佳缘科技,买入,27.80,14100,391980.00
20240618,605058,澳弘电子,卖出,20.56,-10200,-209740.56
20240618,300457,赢合科技,卖出,19.88,-50800,-1009914.16
20240619,301005,超捷股份,买入,29.58,39000,1153710.06
20240619,301517,陕西华达,买入,60.61,7645,463363.45
20240619,301117,佳缘科技,卖出,28.09,-14100,-396092.97
20240619,301517,陕西华达,卖出,62.11,-18100,-1124169.28
20240620,301005,超捷股份,买入,29.02,38800,1125976.00
20240620,600692,亚通股份,卖出,4.73,-63100,-298463.00
20240620,301517,陕西华达,卖出,57.64,-7645,-440672.32
20240620,301005,超捷股份,卖出,27.50,-39000,-1072500.00
20240621,600692,亚通股份,买入,4.94,152200,752202.84
20240621,600692,亚通股份,卖出,4.67,-123100,-574877.00
20240621,301005,超捷股份,卖出,27.39,-38800,-1062883.32
20240624,600692,亚通股份,卖出,4.66,-312900,-1457071.00
20240625,301179,泽宇智能,买入,18.26,39800,726574.00
20240625,301509,金凯生科,买入,38.60,9600,370528.32
20240625,603171,税友股份,买入,22.38,9700,217086.00
20240625,600692,亚通股份,卖出,4.70,-104200,-490089.00
20240626,301393,昊帆生物,买入,46.98,13300,624860.60
20240626,301179,泽宇智能,买入,18.84,21300,401272.83
20240626,600692,亚通股份,卖出,4.74,-104400,-495117.00
20240626,603171,税友股份,卖出,25.05,-9700,-242937.47
20240626,301509,金凯生科,卖出,39.52,-9600,-379433.28
20240626,301179,泽宇智能,卖出,18.71,-39800,-744781.38
20240627,600692,亚通股份,买入,5.02,320000,1605248.75
20240627,300189,神农科技,买入,1.86,600000,1116000.00
20240627,300936,中英科技,买入,43.23,9500,410685.00
20240627,301180,万祥科技,买入,15.41,37900,584107.88
20240627,300021,大禹节水,买入,3.31,162400,537028.58
20240627,301179,泽宇智能,卖出,17.76,-21300,-378388.11
20240627,301393,昊帆生物,卖出,45.38,-13300,-603511.44
20240628,603171,税友股份,买入,26.93,22000,592475.40
20240628,300730,科创信息,买入,10.75,65800,707639.72
20240628,301169,零点有数,买入,28.74,12900,370765.35
20240628,300021,大禹节水,买入,3.38,160600,542806.46
20240628,300374,中铁装配,买入,15.44,15700,242403.29
20240628,300021,大禹节水,卖出,3.31,-121800,-402592.00
20240628,300936,中英科技,卖出,42.94,-9500,-407976.00
20240628,300189,神农科技,卖出,1.80,-600000,-1080367.50
20240628,600692,亚通股份,卖出,5.29,-320000,-1692679.65
20240628,301180,万祥科技,卖出,15.77,-37900,-597865.98
20240701,300374,中铁装配,买入,15.31,40700,623117.00
20240701,301314,科瑞思,买入,43.02,11900,511938.00
20240701,300462,华铭智能,买入,11.81,39700,468813.33
20240701,300189,神农科技,买入,1.98,267900,530783.66
20240701,300930,屹通新材,买入,30.22,3800,114836.00
20240701,301169,零点有数,卖出,28.12,-12900,-362776.15
20240701,300021,大禹节水,卖出,3.35,-160600,-538256.00
20240701,300374,中铁装配,卖出,15.59,-15700,-244763.00
20240701,300730,科创信息,卖出,10.74,-65800,-706390.00
20240701,603171,税友股份,卖出,28.81,-22000,-633828.80
