日期,成交时间,证券代码,证券名称,买卖方向,成交价格,成交数量,成交金额
20240105,10:30:00,301218,华是科技,买入,30.98,12800,396578.56
20240110,:00,301314,科瑞思,卖出,41.00,-6200,-254200.00
20240110,10:30:00,300966,共同药业,买入,23.31,20400,475521.96
20240111,10:30:00,001217,华尔泰,买入,15.95,24200,385990.00
20240111,10:30:00,831304,迪尔化工,买入,8.85,6461,57179.85
20240111,:00,300966,共同药业,卖出,22.30,-20400,-454898.24
20240111,:00,603099,长白山,卖出,29.18,-8300,-242199.81
20240112,10:30:00,002952,亚世光电,买入,36.83,6700,246761.00
20240112,:00,831304,迪尔化工,卖出,8.12,-6461,-52463.32
20240112,:00,001217,华尔泰,卖出,17.69,-24200,-428098.00
20240115,10:30:00,603214,爱婴室,买入,17.51,18600,325598.58
20240115,:00,002952,亚世光电,卖出,34.71,-6700,-232557.00
20240116,10:30:00,002762,金发拉比,买入,9.47,43000,407210.00
20240116,:00,603214,爱婴室,卖出,16.82,-18600,-312852.00
20240117,10:30:00,301012,扬电科技,买入,24.26,17800,431828.00
20240117,10:30:00,603530,神马电力,买入,20.42,21100,430902.00
20240117,10:30:00,301004,嘉益股份,买入,69.19,6000,415135.04
